brand,model,year,price,dummy
Kia,Ceed SW,2021,1 669 900 ₽,1
Уаз,Автобус (2206),2021,880 900 ₽,1
Kia,Cerato,2021,1 455 900 ₽,1
Lada,XRAY Cross,2021,733 900 ₽,1
Уаз,Комби (3909),2021,780 000 ₽,1
Уаз,Патриот New,2021,1 119 900 ₽,1
Renault,Duster NEW,2021,1 375 000 ₽,1
Jeep,Grand Cherokee,2021,4 485 000 ₽,1
Lada,ВИС 275100 фургон,2021,882 900 ₽,1
Kia,K5,2021,1 752 900 ₽,1
Kia,Cerato,2021,1 427 900 ₽,1
Suzuki,Vitara,2021,1 239 990 ₽,1
Renault,Logan Stepway,2021,893 000 ₽,1
Уаз,Хантер,2021,844 500 ₽,1
Уаз,Патриот New,2021,1 119 900 ₽,1
Lada,Vesta SW,2021,757 900 ₽,1
Renault,Kaptur,2021,1 543 000 ₽,1
Kia,Picanto,2021,994 900 ₽,1
Lada,XRAY Cross,2021,745 900 ₽,1
Suzuki,SX4,2021,1 359 990 ₽,1
Suzuki,Vitara,2021,1 239 990 ₽,1
Kia,Seltos,2021,1 673 900 ₽,1
Kia,Ceed SW,2021,1 584 900 ₽,1
Lada,Granta универсал,2021,700 800 ₽,1
Peugeot,Expert Profi,2021,2 301 900 ₽,1
Jeep,Grand Cherokee,2021,4 305 000 ₽,1
Kia,Seltos,2021,1 671 900 ₽,1
Kia,Sportage,2021,1 827 900 ₽,1
Mitsubishi,Outlander,2021,1 940 000 ₽,1
Kia,Soul,2021,1 399 900 ₽,1
Hyundai,Solaris NEW,2021,971 000 ₽,1
Kia,Cerato,2021,1 385 900 ₽,1
Lada,Granta лифтбек,2021,550 500 ₽,1
Suzuki,Vitara,2021,1 605 990 ₽,1
Lada,Granta лифтбек,2021,559 500 ₽,1
Renault,Sandero Stepway,2021,843 000 ₽,1
Renault,Duster NEW,2021,1 325 000 ₽,1
Kia,Soul,2021,1 279 900 ₽,1
Peugeot,Traveller,2021,2 379 900 ₽,1
Уаз,Патриот New,2021,1 224 900 ₽,1
Jeep,Grand Cherokee,2021,4 685 000 ₽,1
Renault,Sandero Stepway,2021,916 000 ₽,1
Уаз,Патриот New,2021,1 065 000 ₽,1
Suzuki,Vitara,2021,1 239 990 ₽,1
Mitsubishi,ASX NEW,2021,1 354 000 ₽,1
Lada,Granta,2021,630 800 ₽,1
Suzuki,Vitara,2021,1 529 990 ₽,1
Kia,Rio X,2021,1 094 900 ₽,1
Kia,Sportage,2021,1 737 900 ₽,1
Hyundai,Sonata,2021,1 877 000 ₽,1
Уаз,Патриот New,2021,1 389 900 ₽,1
Kia,Sportage,2021,2 097 900 ₽,1
