area_sqm,price,region
109.0,22990000,Санкт-Петербург
43.0,15200000,Москва
64.0,4800000,"Краснодарский край, Краснодар"
40.3,5358570,
35.5,4725490,
42.8,2750000,
45.0,3300000,"Ставропольский край, Пятигорск"
68.0,4600000,"Республика Дагестан, Махачкала"
74.0,14300000,Санкт-Петербург
32.0,4600000,Севастополь
62.7,1706544,"Карачаево-Черкесская Республика, Карачаевск"
76.3,9000000,"Красноярский край, Красноярск"
60.0,5800000,Севастополь
29.4,718200,"Ростовская область, Новочеркасск"
26.1,2200000,"Тюменская область, Тюмень"
55.0,2950000,"Чеченская Республика, Грозный"
82.0,9000000,Севастополь
60.0,7630000,"Московская область, Лобня"
32.0,1900000,"Ростовская область, Ростов-на-Дону"
48.8,4600000,"Белгородская область, Белгород"
51.5,5930000,"Архангельская область, Северодвинск"
53.0,6150000,Севастополь
38.0,2950000,"Краснодарский край, Краснодар"
34.0,3800000,"Краснодарский край, Краснодар"
44.0,4400000,"Тюменская область, Тюмень"
47.8,983940,"Республика Татарстан, Зеленодольский р-н, пос. городского типа Васильево"
76.4,2700000,"Ростовская область, Белокалитвинский р-н, Белокалитвенское городское поселение, Белая Калитва"
41.0,3570000,"Тюменская область, Тюмень"
46.0,5120000,"Республика Татарстан, Казань"
85.0,6500000,"Краснодарский край, Сочи"
35.0,800000,"Тверская область, Вышневолоцкий г.о., Вышний Волочёк"
27.0,3300000,"Краснодарский край, Новороссийск"
29.9,1100000,"Челябинская область, Пластовский р-н, Пласт"
47.5,643692,"Республика Татарстан, Камско-Устьинский р-н, пос. городского типа Куйбышевский Затон"
32.0,5300000,Санкт-Петербург
53.0,2500000,"Тюменская область, Тобольск"
39.0,3100000,"Ставропольский край, Ставрополь"
65.4,4700000,"Ленинградская область, Тосненский р-н, Никольское городское поселение, Никольское"
81.4,7900000,"Белгородская область, Белгород"
56.0,11500000,"Московская область, г.о. Красногорск, пос. Ильинское-Усово"
60.0,1850000,"Республика Башкортостан, Салават"
32.0,3799000,"Республика Татарстан, Казань"
