area_sqm,price,region
81.8,14796293,Москва
36.4,7021340,Санкт-Петербург
34.7,4162800,"Ленинградская область, Бугры"
77.8,14315200,Санкт-Петербург
35.0,4281660,Санкт-Петербург
34.7,4161600,
36.3,4752680,
38.1,5124450,
35.4,4704210,"Ленинградская область, Мурино"
64.7,10229070,"Московская область, Котельники"
36.8,6532000,Санкт-Петербург
58.8,5293800,
41.3,5950830,
31.4,6045714,
58.4,7772220,"Ленинградская область, Бугры"
34.7,4164000,"Ленинградская область, Бугры"
38.0,1880000,"Воронежская область, Отрадное"
32.4,4422600,Санкт-Петербург
57.0,7592400,"Ленинградская область, Бугры"
50.0,1350000,"Республика Дагестан, Махачкала"
40.3,5355910,"Ленинградская область, Мурино"
40.9,5648340,"Ленинградская область, Мурино"
23.4,4364100,Санкт-Петербург
45.0,5600000,"Краснодарский край, Краснодар"
25.9,3749177,"Ленинградская область, Мурино"
35.3,4338210,"Ленинградская область, Мурино"
36.0,4624715,"Ленинградская область, Мурино"
39.6,6022240,"Ленинградская область, Мурино"
60.0,1500000,"Республика Дагестан, Махачкала"
25.9,3749177,"Ленинградская область, Мурино"
28.0,3744937,"Ленинградская область, Мурино"
49.3,7192314,"Ленинградская область, Бугры"
40.6,2850000,"Калининградская область, Калининград"
36.3,5329611,"Ленинградская область, Бугры"
40.3,5358570,"Ленинградская область, Мурино"
35.0,3640000,"Алтайский край, Барнаул"
34.2,3800000,"Краснодарский край, Краснодар"
20.6,3141500,Санкт-Петербург
61.5,8025750,"Ленинградская область, Бугры"
25.4,4902200,Санкт-Петербург
42.8,5715135,"Ленинградская область, Мурино"
33.8,4053600,"Ленинградская область, Бугры"
75.1,3010000,"Краснодарский край, Краснодар"
71.1,15129468,Москва
65.5,8541225,"Ленинградская область, Бугры"
38.5,5040880,"Ленинградская область, Мурино"
41.5,5561000,Санкт-Петербург
43.4,5300000,"Краснодарский край, Новороссийск"
25.3,3406563,"Ленинградская область, Мурино"
70.8,12390000,Санкт-Петербург
49.2,6642000,"Ленинградская область, Бугры"
50.9,6539365,"Ленинградская область, Мурино"
38.3,5285400,Санкт-Петербург
41.0,6875000,Санкт-Петербург
41.0,6875000,Санкт-Петербург
105.0,17878900,Санкт-Петербург
36.9,6383700,Санкт-Петербург
39.8,4879779,"Ленинградская область, Мурино"
40.0,5320000,"Ленинградская область, Мурино"
22.4,4706780,Санкт-Петербург
25.9,3392900,"Ленинградская область, Мурино"
28.0,3388000,
33.2,3980400,
32.1,4368320,
39.5,4842969,"Ленинградская область, Мурино"
37.7,4697385,"Ленинградская область, Мурино"
35.5,4193720,"Ленинградская область, Мурино"
42.9,8825161,
33.0,4496616,
38.5,4425200,
34.9,6055150,Санкт-Петербург
64.5,5200000,"Калининградская область, Калининград"
20.8,4014400,Санкт-Петербург
63.2,11500000,Санкт-Петербург
42.9,8825161,"Московская область, Заречье"
74.0,10475000,Москва
63.9,8340255,"Ленинградская область, Бугры"
57.2,4004700,"Адыгея, Яблоновский"
27.1,3943050,Санкт-Петербург
